, 100, 500, 5000, 10000, 50000, 100000, 200000, 300000, 400000, 500000, 600000, 700000, 800000, 900000, 1000000, 
tri_par_tas, 0, 0, 0, 0, 20, 50, 110, 180, 260, 280, 330, 380, 470, 570, 650, 
tri_par_tas, 0, 0, 0, 0, 20, 40, 100, 150, 210, 270, 360, 430, 460, 550, 660, 
tri_par_tas, 0, 0, 0, 10, 30, 50, 120, 180, 250, 330, 400, 510, 560, 640, 750, 
tri_par_tas, 0, 0, 0, 0, 20, 60, 120, 190, 260, 320, 360, 440, 510, 490, 570, 
tri_par_tas, 0, 0, 0, 0, 20, 50, 90, 140, 200, 260, 330, 390, 450, 520, 590, 
tri_par_tas, 0, 0, 0, 10, 20, 40, 90, 150, 210, 250, 320, 390, 450, 510, 580, 
tri_par_tas, 0, 0, 0, 10, 20, 40, 90, 140, 200, 260, 320, 390, 450, 510, 600, 
tri_par_tas, 0, 0, 0, 0, 20, 50, 90, 150, 210, 270, 310, 390, 450, 530, 600, 
tri_par_tas, 0, 0, 0, 0, 20, 50, 90, 150, 210, 260, 330, 390, 480, 550, 600, 
tri_par_tas, 0, 0, 0, 10, 20, 40, 100, 160, 200, 270, 350, 410, 480, 560, 640, 
tri_par_tas, 0, 0, 0, 0, 20, 50, 90, 150, 210, 270, 340, 370, 470, 460, 460, 
tri_par_tas, 0, 0, 0, 10, 10, 30, 60, 110, 170, 280, 350, 340, 400, 440, 540, 
tri_par_tas, 0, 0, 0, 0, 20, 40, 90, 140, 190, 250, 310, 340, 360, 510, 570, 
tri_par_tas, 0, 0, 10, 0, 20, 50, 90, 150, 170, 220, 330, 380, 370, 420, 480, 
tri_par_tas, 0, 0, 0, 0, 10, 30, 70, 110, 170, 190, 230, 410, 360, 430, 500, 
tri_par_tas, 0, 0, 0, 10, 10, 40, 90, 120, 150, 270, 320, 290, 420, 440, 520, 
tri_par_tas, 0, 0, 0, 0, 20, 30, 80, 150, 190, 220, 280, 320, 380, 430, 430, 
tri_par_tas, 0, 0, 0, 0, 20, 40, 70, 100, 160, 270, 320, 330, 350, 400, 490, 
tri_par_tas, 0, 0, 0, 0, 20, 50, 90, 140, 200, 260, 260, 290, 430, 530, 410, 
tri_par_tas, 0, 0, 10, 0, 10, 30, 60, 110, 160, 210, 310, 370, 380, 430, 500, 

